config	codepoints	kinds	matched_entry	baseline	new
default	E653:E668:E653:200C	cell	boundary-echo	qsDay|qsRoe|qsDay|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/None/|zwnj/boundary/None/None/
default	E653:E668:E653:E650	cell	bare-name-live-join	qsDay|qsRoe|qsDay|qsPea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/None/|qsPea/full/None/None/
default	E653:E668:E653:E652	cell	bare-name-live-join	qsDay|qsRoe|qsDay|qsTea.en-y0	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/baseline/|qsTea/full/baseline/None/
default	E653:E668:E653:E653	cell	dangling-anchor-dropped	qsDay|qsRoe|qsDay|qsDay.half.en-y0.ex-y0	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/baseline/|qsDay/half/baseline/None/
default	E653:E668:E653:E668	cell	bare-name-live-join	qsDay|qsRoe|qsDay|qsRoe	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/
default	E653:E668:E668:0020	cell	boundary-echo	qsDay|qsRoe.en-y0.ex-y5|qsRoe|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|space/boundary/None/None/
default	E653:E668:E668:00B7	cell	bare-name-live-join	qsDay|qsRoe.en-y0.ex-y5|qsRoe|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|namer-dot/boundary/None/None/
default	E653:E668:E668:200C	cell	boundary-echo	qsDay|qsRoe.en-y0.ex-y5|qsRoe|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|zwnj/boundary/None/None/
default	E653:E668:E668:E650	cell	bare-name-live-join	qsDay|qsRoe.en-y0.ex-y5|qsRoe|qsPea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|qsPea/full/None/None/
default	E653:E668:E668:E652	cell	bare-name-live-join	qsDay|qsRoe.en-y0.ex-y5|qsRoe|qsTea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|qsTea/full/None/None/
default	E653:E668:E668:E653	cell	bare-name-live-join	qsDay|qsRoe.en-y0.ex-y5|qsRoe|qsDay	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/None/|qsDay/full/None/None/
default	E653:E668:E668:E668	cell	bare-name-live-join	qsDay|qsRoe.en-y0.ex-y5|qsRoe.ex-y0|qsRoe	qsDay/full/None/baseline/|qsRoe/hapax/baseline/x-height/|qsRoe/hapax/x-height/baseline/|qsRoe/hapax/baseline/None/
default	E665:E670:E652:E679	cell,seam	pre-ligature-cleanup-regularized	qsMay|qsIt|qsTea_qsOy	qsMay/loop/None/x-height/ex-ext-1|qsIt/hapax/x-height/None/|qsTea_qsOy/hapax/None/None/
default	E668:0020:E650:E650	cell	boundary-echo	qsRoe|space|qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsRoe/hapax/None/None/|space/boundary/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	E668:0020:E650:E653	cell	boundary-echo	qsRoe|space|qsPea|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|space/boundary/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/
