config	codepoints	kinds	matched_entry	baseline	new
default	E650:E665:E652:E652	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsTea|qsTea	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea/full/None/None/|qsTea/full/None/None/
default	E650:E665:E652:E665	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E650:E665:E652:E670	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea/half/None/x-height/|qsIt/bar/x-height/None/
default	E650:E665:E652:E679	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsTea_qsOy	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea_qsOy/bar-into-loop/None/None/
default	E650:E665:E665:0020	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|space	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/None/|space/boundary/None/None/
default	E650:E665:E665:00B7	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|periodcentered	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/None/|namer-dot/boundary/None/None/
default	E650:E665:E665:200C	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|space	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/None/|zwnj/boundary/None/None/
default	E650:E665:E665:E650	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|qsPea.en-y5.ex-y0	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/x-height/|qsPea/full/x-height/None/
default	E650:E665:E665:E652	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|qsTea	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/None/ex-bind-pulled-back|qsTea/full/None/None/
default	E650:E665:E665:E665	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay.ex-y0|qsMay.en-y0.ex-y5	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/grounded-loop/None/baseline/|qsMay/loop/baseline/None/
default	E650:E665:E665:E670	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay.ex-ext-1|qsIt.en-y5.ex-y0	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/x-height/ex-ext-1|qsIt/bar/x-height/None/
default	E650:E665:E665:E679	cell	may-exit-withdrawal-generalized	qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay|qsOy.en-y5.ex-y0	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/x-height/|qsOy/loop/x-height/None/
default	E650:E665:E670:0020	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|space	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|space/boundary/None/None/
default	E650:E665:E670:00B7	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|periodcentered	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|namer-dot/boundary/None/None/
default	E650:E665:E670:200C	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|space	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|zwnj/boundary/None/None/
default	E650:E665:E670:E650	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|qsPea	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|qsPea/full/None/None/
default	E650:E665:E670:E652	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|qsTea	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|qsTea/full/None/None/
default	E650:E665:E670:E665	cell	same-seam-extension-non-summing	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0.ex-ext-1|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/baseline/ex-ext-1|qsMay/loop/baseline/None/
default	E650:E665:E670:E670	cell,seam	entered-it-baseline-join-gain	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|qsIt	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/baseline/ex-ext-1|qsIt/bar/baseline/None/
default	E650:E665:E670:E679	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0|qsOy	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/|qsOy/loop/None/None/
default	E650:E665:E679:0020	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|space	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/|space/boundary/None/None/
default	E650:E665:E679:00B7	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|periodcentered	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/|namer-dot/boundary/None/None/
default	E650:E665:E679:200C	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|space	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/|zwnj/boundary/None/None/
default	E650:E665:E679:E650	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|qsPea	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/|qsPea/full/None/None/
default	E650:E665:E679:E652	cell	bare-name-live-join	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|qsTea.en-y0	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/baseline/|qsTea/full/baseline/None/
default	E650:E665:E679:E665	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|qsMay.en-y0.ex-y5	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/baseline/|qsMay/loop/baseline/None/
default	E650:E665:E679:E670	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|qsIt.en-y0.ex-y5	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/baseline/|qsIt/bar/baseline/None/
default	E650:E665:E679:E679	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0|qsOy	qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/|qsOy/loop/None/None/
default	E650:E670:0020:0020	cell	dangling-anchor-dropped	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space|space	qsPea/half/None/x-height/|qsIt/bar/x-height/None/|space/boundary/None/None/|space/boundary/None/None/
default	E650:E670:0020:00B7	cell	dangling-anchor-dropped	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space|periodcentered	qsPea/half/None/x-height/|qsIt/bar/x-height/None/|space/boundary/None/None/|namer-dot/boundary/None/None/
default	E650:E670:0020:200C	cell	dangling-anchor-dropped	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space|space	qsPea/half/None/x-height/|qsIt/bar/x-height/None/|space/boundary/None/None/|zwnj/boundary/None/None/
default	E650:E670:0020:E650	cell	dangling-anchor-dropped	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space|qsPea	qsPea/half/None/x-height/|qsIt/bar/x-height/None/|space/boundary/None/None/|qsPea/full/None/None/
