# Benign isolation-leak census at depth 4. Generated by `make leak-snapshot`; do not hand-edit.
# The welcome faux-organic variation (subtractive trims, standalone-variant swaps, cosmetic tucks). Any change is surfaced for review.
# Each line: <example sequence> [break N] :: <glyph diff>. See doc/definitions/shaping-leakage.md.
# count: 247

He Llan Thaw Ing [break 1] :: *L qsLlan.en-ext-1->qsLlan |  R qsThaw.ex-y0->qsThaw.ex-y0
Low They Utter Jai [break 0] ::  L qsLow->qsLow | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
See Low See Utter [break 1] :: *L qsLow.en-ext-1->qsLow |  R qsSee_qsUtter->qsSee_qsUtter
May They Utter Jai [break 0] ::  L qsMay->qsMay | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
They May Fee Awe [break 1] :: *L qsMay.en-y0.ex-y5->qsMay |  R qsFee.ex-y5->qsFee.ex-y5
They May Fee May [break 1] :: *L qsMay.en-y0.ex-y5->qsMay |  R qsFee.ex-y5.before-may.ex-ext-3->qsFee.ex-y5.before-may.ex-ext-3
They May Fee Cheer [break 1] :: *L qsMay.en-y0.ex-y5->qsMay | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee.ex-y5.ex-ext-1
They May See Eat [break 1] :: *L qsMay.en-y0.ex-y5->qsMay |  R qsSee_qsEat->qsSee_qsEat
They May See Utter [break 1] :: *L qsMay.en-y0.ex-y5->qsMay |  R qsSee_qsUtter->qsSee_qsUtter
At May They Utter [break 1] :: *L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-noentry | *R qsThey_qsUtter->qsThey_qsUtter.noentry
Utter May Gay Owe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay->qsGay.en-y0.ex-y5.ex-ext-2
They May Gay Ah [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay.ex-y0->qsGay.en-y0.ex-y5
They May Gay Awe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay.ex-y5->qsGay.en-y0.ex-y5
Utter May May Awe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay->qsMay.en-y0.ex-y5.ex-ext-1
Utter May May Fee [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay.ex-ext-1->qsMay.en-y0.ex-y5
Utter May May Ah [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay.ex-y0->qsMay.en-y0.ex-y5
He May They Utter [break 1] :: *L qsMay.en-y0.ex-y5.en-ext-1->qsMay.en-y0.ex-noentry.en-ext-1 | *R qsThey_qsUtter->qsThey_qsUtter.noentry
Ah May Pea Awe [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5
Fee May Pea Awe [break 1] ::  L qsMay.en-y5.after-fee->qsMay.en-y5.after-fee | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5
I May Pea Awe [break 1] ::  L qsMay.en-y5.after-i->qsMay.en-y5.after-i | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5
No They Utter Jai [break 0] ::  L qsNo->qsNo | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
She Gay No Fee [break 2] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsFee->qsFee
She Gay No Jai [break 2] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsJai->qsJai
Roe No See At [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0->qsSee.ex-y0
Roe No See Out [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1
Roe No See Low [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2
Roe No See Ooze [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right
Roe No See Eat [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee_qsEat->qsSee_qsEat
Roe No Utter May [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsUtter.alt.ex-y0.before-may->qsUtter.alt.ex-y0.before-may
Awe No Gay Out [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsGay.ex-y0->qsGay.ex-y0
Awe No Gay Day [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1
Awe No It Ah [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsIt.ex-y0->qsIt.ex-y0
Awe No It I [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsIt.ex-y0.ex-ext-1->qsIt.ex-y0.ex-ext-1
Awe No See Utter [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsSee_qsUtter->qsSee_qsUtter
Awe No Tea Oy [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsTea_qsOy->qsTea_qsOy
Awe No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0
Awe No Utter Ah [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsUtter.alt.ex-y0->qsUtter.alt.ex-y0
It No Tea Oy [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-it-and-vie->qsNo |  R qsTea_qsOy->qsTea_qsOy
It No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-it-and-vie->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0
Zoo No Tea Oy [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-zoo->qsNo |  R qsTea_qsOy->qsTea_qsOy
Zoo No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-zoo->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0
Ooze He No Ah [break 0] ::  L qsOoze->qsOoze | *R qsHe.half.ex-y5->qsHe.ex-y0
Ooze Tea No Ah [break 0] ::  L qsOoze->qsOoze | *R qsTea.half.ex-y5->qsTea.ex-y0
Ah Out Tea [break 1] :: *L qsOut->qsOut_qsTea | *R qsTea->qsOut_qsTea
Out Tea I [break 0] :: *L qsOut->qsOut_qsTea | *R qsTea.en-y8.ex-y0.ex-ext-1->qsOut_qsTea
Out Tea Ah [break 0] :: *L qsOut->qsOut_qsTea | *R qsTea.ex-y0->qsOut_qsTea
Out Tea Awe [break 0] :: *L qsOut->qsOut_qsTea | *R qsTea.half.ex-y5->qsOut_qsTea
Out Tea Jay [break 0] :: *L qsOut->qsOut_qsTea | *R qsTea.half.ex-y5.ex-con-1->qsOut_qsTea
Out Tea Oy [break 0] :: *L qsOut->qsOut_qsTea | *R qsTea_qsOy->qsOut_qsTea
See Eat Out Tea [break 2] :: *L qsOut.en-y0.after-see->qsOut_qsTea.after-see | *R qsTea->qsOut_qsTea.after-see
See Out See Utter [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut |  R qsSee_qsUtter->qsSee_qsUtter
See Out Tea [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea->qsOut_qsTea.after-see
See Out Tea I [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea.en-y8.ex-y0.ex-ext-1->qsOut_qsTea.after-see
See Out Tea Ah [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea.ex-y0->qsOut_qsTea.after-see
See Out Tea Awe [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea.half.ex-y5->qsOut_qsTea.after-see
See Out Tea Jay [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea.half.ex-y5.ex-con-1->qsOut_qsTea.after-see
