         114589989 function calls (109664438 primitive calls) in 19.147 seconds

   Ordered by: cumulative time
   List reduced from 1391 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9494384    0.678    0.000    1.184    0.000 {built-in method builtins.hasattr}
2543964/3375    0.676    0.000    2.090    0.001 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:110(deepcopy)
  1926555    0.459    0.000    0.562    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:878(__getattr__)
  8985366    0.390    0.000    0.390    0.000 {built-in method builtins.isinstance}
  5835792    0.368    0.000    0.368    0.000 {method 'get' of 'dict' objects}
 147035/1    0.331    0.000    1.048    1.048 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:958(decompile)
  5392095    0.322    0.000    0.322    0.000 {method 'append' of 'list' objects}
184508/1201    0.310    0.000    0.778    0.001 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:480(_doneWriting)
  5614802    0.296    0.000    0.296    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:319(is_subtable_break)
    88515    0.241    0.000    0.416    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otTables.py:970(preWrite)
    83780    0.236    0.000    1.612    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:333(parse_glyphclass_)
178884/27970    0.212    0.000    1.901    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:198(_deepcopy_dict)
175248/26336    0.202    0.000    1.988    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:228(_reconstruct)
     5034    0.191    0.000    0.221    0.000 tools/quikscript_join_analysis.py:797(_pair_specific_generated_variants)
306415/3029    0.179    0.000    2.085    0.001 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:172(_deepcopy_list)
   442611    0.157    0.000    0.212    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:781(writeCountReference)
3171575/3169274    0.145    0.000    0.145    0.000 {built-in method builtins.len}
   660547    0.129    0.000    0.200    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:212(_keep_alive)
   939992    0.122    0.000    0.164    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/textTools.py:130(tobytes)
      537    0.118    0.000    0.283    0.001 tools/build_font.py:319(expand_prefixes)
    36295    0.117    0.000    0.296    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:931(populateDefaults)
  1051655    0.114    0.000    0.171    0.000 {built-in method builtins.getattr}
  2237989    0.112    0.000    0.112    0.000 {built-in method builtins.id}
   557409    0.112    0.000    1.178    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:2096(expect_glyph_)
   711486    0.106    0.000    1.294    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:2290(advance_lexer_)
   234673    0.101    0.000    0.147    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:718(writeArray)
   275755    0.100    0.000    0.105    0.000 {built-in method builtins.sorted}
    72910    0.099    0.000    0.174    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:413(getDataLength)
   267143    0.098    0.000    0.144    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:1210(getGlyphIDMany)
  1286595    0.097    0.000    0.097    0.000 {built-in method _struct.pack}
